url,datetime,summary,full_text,title,body,date,search_term,symbol,llm_full_text_summary,category,id,complete_article_text,processed_datetime,processed_summary,url_hash
https://www.aviationtoday.com/2024/07/25/sikorsky-nears-testbed-for-hex-vtol-demonstrator-pursuing-several-hybrid-electric-concepts/,7/24/2024,,Sikorsky plans to have the power systems tested for its hybrid-electric vertical takeoff and landing (HEX VTOL) demonstrator aircraft ready by year's end to...,"Sikorsky Nears Testbed For HEX VTOL Demonstrator, Pursuing Several Hybrid Electric Concepts",Sikorsky plans to have the power systems tested for its hybrid-electric vertical takeoff and landing (HEX VTOL) demonstrator aircraft ready by year's end to...,7/24/2024,General Electric,GE,,company_specific_artificial_intelligence,506715,,,,
https://www.tradingview.com/news/barchart:db7aa7e98094b:0-up-233-since-nvidia-s-investment-is-it-too-late-to-buy-this-robotics-stock/,7/24/2024,,"With the onset of the artificial intelligence (AI) revolution, semiconductor company Nvidia NASDAQ:NVDA has been the market darling. Any company that Nvidia...","Up 233% Since Nvidia's Investment, Is It Too Late to Buy This Robotics Stock?","With the onset of the artificial intelligence (AI) revolution, semiconductor company Nvidia NASDAQ:NVDA has been the market darling. Any company that Nvidia...",7/24/2024,Nvidia,NVDA,,company_specific,497877,"With the onset of the artificial intelligence (AI) revolution, semiconductor company Nvidia NVDA has been the market darling. Any company that Nvidia expresses even the slightest interest in, captures everybody’s attention.",,,
https://www.tradingview.com/news/barchart:db7aa7e98094b:0-up-233-since-nvidia-s-investment-is-it-too-late-to-buy-this-robotics-stock/,7/24/2024,,"With the onset of the artificial intelligence (AI) revolution, semiconductor company Nvidia NASDAQ:NVDA has been the market darling. Any company that Nvidia...","Up 233% Since Nvidia's Investment, Is It Too Late to Buy This Robotics Stock?","With the onset of the artificial intelligence (AI) revolution, semiconductor company Nvidia NASDAQ:NVDA has been the market darling. Any company that Nvidia...",7/24/2024,Nvidia,NVDA,,company_specific,499757,"With the onset of the artificial intelligence (AI) revolution, semiconductor company Nvidia NVDA has been the market darling. Any company that Nvidia expresses even the slightest interest in, captures everybody’s attention.",,,
https://finance.yahoo.com/news/nvidias-ownership-stake-news-sent-114948915.html,7/24/2024,,Nvidia owns a 10% stake in this AI-powered sidewalk delivery robot company that Uber spun off in 2021.,Nvidia's Ownership Stake News Sent Serve Robotics Stock Soaring 233%. Should You Also Buy This AI Stock?,Nvidia owns a 10% stake in this AI-powered sidewalk delivery robot company that Uber spun off in 2021.,7/24/2024,Nvidia,NVDA,,company_specific,497880,"Shares of Serve Robotics (NASDAQ: SERV), an autonomous sidewalk delivery company, soared 187% on Friday after artificial intelligence (AI) chip leader Nvidia disclosed via a filing with the Securities and Exchange Commission (SEC) that it owns a 10% stake in the relatively new public company. More specifically, Nvidia owns 3,727,033 shares of Serve's 37.1 million shares outstanding.",,,
https://www.analyticsinsight.net/artificial-intelligence/elon-musk-and-ai-a-duo-for-worlds-most-powerful-ai,7/24/2024,,"Elon Musk, the visionary behind numerous tech innovations, is making headlines once again with his ambitious plans in the field of artificial intelligence...",Elon Musk and AI: A Duo for World’s Most Powerful AI?,"Elon Musk, the visionary behind numerous tech innovations, is making headlines once again with his ambitious plans in the field of artificial intelligence...",7/24/2024,Nvidia,NVDA,,company_specific_artificial_intelligence,497939,"What is Elon Musk's latest AI venture, xAI, and what is its goal?",,,
https://www.rgj.com/story/news/nevada/2024/07/24/nevada-air-conditioning-thermostats/74517134007/,7/24/2024,,"Here in Reno, where temperatures have topped 100 degrees 11 times so far this year, my household thermostat is set to 74 degrees.","Northern Nevadans, where are you setting your thermostat this summer?","Here in Reno, where temperatures have topped 100 degrees 11 times so far this year, my household thermostat is set to 74 degrees.",7/24/2024,General Electric,GE,,company_specific_artificial_intelligence,506716,,,,
http://www.baystreet.ca/articles/stockstowatch.aspx?articleid=100118,7/24/2024,,"The artificial intelligence story shows no signs of cooling. Instead, according to McKinsey the AI market could swell to $17 trillion to $25 trillion by...",Five of the Top AI Stocks to Buy Immediately,"The artificial intelligence story shows no signs of cooling. Instead, according to McKinsey the AI market could swell to $17 trillion to $25 trillion by...",7/24/2024,Nvidia,NVDA,,company_specific_artificial_intelligence,499862,"The artificial intelligence story shows no signs of cooling. Instead, according to McKinsey the AI market could swell to $17 trillion to $25 trillion by 2030. In addition, AI related spending will make up about 8% to 10% of IT budgets in 2024, according to Wedbush. “This demonstrates a remarkable acceleration in AI spending after it comprised less than 1% of IT budgets in 2023,” added Seeking Alpha. All of which could positively impact VERSES AI (CBOE: VERS) (OTCQB: VRSSF), Nvidia (NASDAQ: NVDA), Microsoft (NASDAQ: MSFT), C3 AI (NYSE:AI) and Amazon.com (NASDAQ: AMZN) to name a few of the top ones.",,,
http://www.baystreet.ca/articles/stockstowatch.aspx?articleid=100118,7/24/2024,,"The artificial intelligence story shows no signs of cooling. Instead, according to McKinsey the AI market could swell to $17 trillion to $25 trillion by...",Five of the Top AI Stocks to Buy Immediately,"The artificial intelligence story shows no signs of cooling. Instead, according to McKinsey the AI market could swell to $17 trillion to $25 trillion by...",7/24/2024,Nvidia,NVDA,,company_specific_artificial_intelligence,497935,"The artificial intelligence story shows no signs of cooling. Instead, according to McKinsey the AI market could swell to $17 trillion to $25 trillion by 2030. In addition, AI related spending will make up about 8% to 10% of IT budgets in 2024, according to Wedbush. “This demonstrates a remarkable acceleration in AI spending after it comprised less than 1% of IT budgets in 2023,” added Seeking Alpha. All of which could positively impact VERSES AI (CBOE: VERS) (OTCQB: VRSSF), Nvidia (NASDAQ: NVDA), Microsoft (NASDAQ: MSFT), C3 AI (NYSE:AI) and Amazon.com (NASDAQ: AMZN) to name a few of the top ones.",,,
https://sg.news.yahoo.com/singapore-air-flew-96-million-people-in-strong-first-quarter-070421334.html,7/24/2024,,Singapore Airlines reported robust passenger and air cargo demand in June that closed out a strong first quarter.,Almost 10m passengers flew Singapore Airlines in Q1,Singapore Airlines reported robust passenger and air cargo demand in June that closed out a strong first quarter.,7/24/2024,Facebook,META,,company_specific_artificial_intelligence,499497,"FILE PHOTO: Travelers in a waiting area near Singapore Airlines Ltd. aircraft at Changi Airport in Singapore, on Wednesday, March 30, 2022. (Photographer: Ore Huiying/Bloomberg)",,,
https://cabinradio.ca/194153/news/yellowknife/yellowknife-opens-fieldhouse-for-free-over-poor-air-quality/,7/24/2024,,Wildfire smoke over Yellowknife triggered a city policy that opens an indoor walking track and playground to residents for free when air quality dips.,Yellowknife opens fieldhouse for free over poor air quality,Wildfire smoke over Yellowknife triggered a city policy that opens an indoor walking track and playground to residents for free when air quality dips.,7/24/2024,Facebook,META,,company_specific_artificial_intelligence,499508,Wildfire smoke over Yellowknife has triggered a city policy that opens the fieldhouse to residents for free when air quality dips.,,,
